title, date,name,expert,linkedin,profil_url,image, link,webinar,workshop,one-on-ones
2 hour Marketing Webinar,25th of Oct. 2016, Hitesh Kothari,Sales and Marketing,https://in.linkedin.com/in/hiteshkothari,expert_hitesh,Hitesh Kothari - Market Labz.jpg, webinars,webinar,,
3 hour Basic of Product Management Webinar,1st of Nov. 2016,Kabir Banerjee,Product Management,https://in.linkedin.com/in/kabir-banerjee-872b0414,expert_kabir,kapil profile image.jpg,webinars,webinar,,
3 hour Lean Programming  Webinar,2nd of Nov. 2016, Rajeef M K,Technology,https://www.linkedin.com/in/rajeefmk,expert_rajeef,Profile_picture_rajeef.jpg,webinars,webinar,,
4 hour Advanced Android Programming Webinar,10st of Nov. 2016, Rajeef M K,Technology,https://www.linkedin.com/in/rajeefmk,expert_rajeef,Profile_picture_rajeef.jpg,webinars,webinar,,
2 x 8 h Basic Enterpreneurship Workshop,21st of Nov. 2016, Rajeef M K,Technology,https://www.linkedin.com/in/rajeefmk,expert_rajeef,Profile_picture_rajeef.jpg,,,workshop,
One-on-One,21st of Nov. 2016, Rajeef M K,Technology,https://www.linkedin.com/in/rajeefmk,expert_rajeef,Profile_picture_rajeef.jpg,webinars,,,one-on-one
4 h Foundation of Product Management Evening Workshop,22nd of Nov. 2016, Vivek Vijayan, Product Management,http://www.linkedin.com/in/vivekv1302,expert_vivek,vivek.jpg,,,workshop,




